repository_name,owner_username,stars,repository_url
scikit-learn,scikit-learn,49700,https://github.com/scikit-learn/scikit-learn
superset,apache,45600,https://github.com/apache/superset
pandas,pandas-dev,33400,https://github.com/pandas-dev/pandas
metabase,metabase,28100,https://github.com/metabase/metabase
AI-Expert-Roadmap,AMAI-GmbH,19000,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
streamlit,streamlit,18600,https://github.com/streamlit/streamlit
CyberChef,gchq,16200,https://github.com/gchq/CyberChef
goaccess,allinurl,14600,https://github.com/allinurl/goaccess
Data-Science-For-Beginners,microsoft,10400,https://github.com/microsoft/Data-Science-For-Beginners
pandas-profiling,ydataai,8800,https://github.com/ydataai/pandas-profiling
OpenRefine,OpenRefine,8800,https://github.com/OpenRefine/OpenRefine
mlcourse.ai,Yorko,8200,https://github.com/Yorko/mlcourse.ai
gop,goplus,8000,https://github.com/goplus/gop
pandas_exercises,guipsamora,7600,https://github.com/guipsamora/pandas_exercises
statsmodels,statsmodels,7300,https://github.com/statsmodels/statsmodels
airbyte,airbytehq,6400,https://github.com/airbytehq/airbyte
gradio,gradio-app,5900,https://github.com/gradio-app/gradio
imbalanced-learn,scikit-learn-contrib,5800,https://github.com/scikit-learn-contrib/imbalanced-learn
gonum,gonum,5700,https://github.com/gonum/gonum
alluxio,Alluxio,5600,https://github.com/Alluxio/alluxio
dataease,dataease,5500,https://github.com/dataease/dataease
pyod,yzhao062,5500,https://github.com/yzhao062/pyod
pachyderm,pachyderm,5400,https://github.com/pachyderm/pachyderm
Data-Analysis-and-Machine-Learning-Projects,rhiever,5200,https://github.com/rhiever/Data-Analysis-and-Machine-Learning-Projects
knowledge-repo,airbnb,5100,https://github.com/airbnb/knowledge-repo
awesome-R,qinwf,5000,https://github.com/qinwf/awesome-R
akshare,akfamily,4800,https://github.com/akfamily/akshare
Ai-Learn,tangyudi,4800,https://github.com/tangyudi/Ai-Learn
weibospider,SpiderClub,4700,https://github.com/SpiderClub/weibospider
cudf,rapidsai,4600,https://github.com/rapidsai/cudf
