repository_name,owner_username,stars,repository_url
system-design-primer,donnemartin,175000,https://github.com/donnemartin/system-design-primer
tensorflow,tensorflow,164000,https://github.com/tensorflow/tensorflow
CS-Notes,CyC2018,150000,https://github.com/CyC2018/CS-Notes
Python,TheAlgorithms,135000,https://github.com/TheAlgorithms/Python
awesome-python,vinta,124000,https://github.com/vinta/awesome-python
free-programming-books-zh_CN,justjavac,91000,https://github.com/justjavac/free-programming-books-zh_CN
thefuck,nvbn,70300,https://github.com/nvbn/thefuck
project-based-learning,practical-tutorials,66200,https://github.com/practical-tutorials/project-based-learning
django,django,63500,https://github.com/django/django
transformers,huggingface,61100,https://github.com/huggingface/transformers
flask,pallets,58600,https://github.com/pallets/flask
pytorch,pytorch,55400,https://github.com/pytorch/pytorch
keras,keras-team,55000,https://github.com/keras-team/keras
HelloGitHub,521xueweihan,54100,https://github.com/521xueweihan/HelloGitHub
ansible,ansible,52800,https://github.com/ansible/ansible
core,home-assistant,51700,https://github.com/home-assistant/core
scikit-learn,scikit-learn,49700,https://github.com/scikit-learn/scikit-learn
leetcode,azl397985856,47500,https://github.com/azl397985856/leetcode
requests,psf,47300,https://github.com/psf/requests
superset,apache,45600,https://github.com/apache/superset
fastapi,tiangolo,44100,https://github.com/tiangolo/fastapi
face_recognition,ageitgey,43900,https://github.com/ageitgey/face_recognition
manim,3b1b,43800,https://github.com/3b1b/manim
scrapy,scrapy,43300,https://github.com/scrapy/scrapy
TensorFlow-Examples,aymericdamien,41900,https://github.com/aymericdamien/TensorFlow-Examples
localstack,localstack,39700,https://github.com/localstack/localstack
100-Days-Of-ML-Code,Avik-Jain,36800,https://github.com/Avik-Jain/100-Days-Of-ML-Code
rich,Textualize,36600,https://github.com/Textualize/rich
nerd-fonts,ryanoasis,34700,https://github.com/ryanoasis/nerd-fonts
Real-Time-Voice-Cloning,CorentinJ,34300,https://github.com/CorentinJ/Real-Time-Voice-Cloning
